track_name,artists,track_genre,energy,valence
Take Me Higher,yaeow;Rnla,chill,0.281,0.0537
wish u felt the way i do,Finding Hope,chill,0.304,0.271
just friends,keshi,chill,0.244,0.199
Love,Finding Hope,chill,0.177,0.0699
French Inhale,[bsd.u],chill,0.146,0.889
retrograde,dhruv,chill,0.229,0.281
Sunsick,Bennett Coast,chill,0.583,0.58
All Alone,Sølace,chill,0.556,0.457
By My Side,JUNNY,chill,0.429,0.375
Glass,nekoi,chill,0.291,0.0701
I Can't Help,Shoffy;Sarcastic Sounds,chill,0.402,0.312
Here for You,Peter Fenn,chill,0.367,0.516
Green Tea & Honey,Dane Amar;Jereena Montemayor,chill,0.241,0.799
Behind the Clouds,yaeow,chill,0.109,0.276
falling down,Nohidea,chill,0.309,0.556
Is It Too Much to Ask For,me7k,chill,0.467,0.58
My All,Larissa Lambert,chill,0.265,0.225
OH NO!,Cody Lovaas;ROZES,chill,0.398,0.644
this is for my girl,APOLLYON.;Shiloh Dynasty;XANSEII.,chill,0.43,0.327
weak lofi,creamy;untrusted;11:11 Music Group,chill,0.441,0.493
tv,creamy;untrusted;11:11 Music Group,chill,0.134,0.149
Plants,Philanthrope;Ian Ewing;Sleepy Fish,chill,0.324,0.0393
17 - Slowed + reverb,Shiloh Dynasty,chill,0.24,0.171
change ur mind,Sarcastic Sounds;Claire Rosinkranz;Clinton Kane,chill,0.575,0.494
Yellow Hearts (feat. Audrey Mika),Ant Saunders;Audrey Mika,chill,0.401,0.678
I Found Her,Faime,chill,0.447,0.122
Backdrop,Konteks,chill,0.293,0.203
Affection,Jinsang,chill,0.193,0.607
stuck in the middle,creamy;untrusted;11:11 Music Group,chill,0.532,0.696
Best Day Of My Life,Tom Odell,chill,0.187,0.101
Losing Interest - Remix,Stract;Shiloh Dynasty;Burgettii,chill,0.417,0.711
Casualties,Ethan Dufault,chill,0.306,0.348
Crab Rave,Noisestorm,chill,0.933,0.245
feel the same,The Millennial Club,chill,0.659,0.621
Change,Adzmilli,chill,0.577,0.802
JUST BREATHE - feat. 3RACHA of Stray Kids,SKY-HI;3RACHA of Stray Kids,chill,0.824,0.502
17 (feat. Joshua and DK of SEVENTEEN),Pink Sweat$;SEVENTEEN,chill,0.383,0.306
Let Me Down Slowly,fenekot,chill,0.487,0.484
Needs,Verzache,chill,0.601,0.855
Aphrodite,RINI,chill,0.298,0.262
Entice Me,JON VINYL,chill,0.548,0.5
