track_name,artists,track_genre,energy,valence
Since U Been Gone - Acoustic Version,Thomas Daniel,acoustic,0.162,0.366
"One more time,One more chance",Masayoshi Yamazaki,acoustic,0.429,0.396
Creep,Kina Grannis,acoustic,0.103,0.179
Higher Love,Todd Carey;Ariza;Chuck Leavell,acoustic,0.763,0.394
Hyouriittai,YUZU,acoustic,0.891,0.333
How Long Will I Love You,Canyon City,acoustic,0.157,0.224
Binibini,Zack Tabudlo,acoustic,0.374,0.0979
You Were Supposed to Be Different,Aron Wright,acoustic,0.239,0.137
Thinking out Loud,Boyce Avenue,acoustic,0.326,0.628
Perfect / Style,Jonah Baker,acoustic,0.292,0.375
Poison & Wine,The Civil Wars,acoustic,0.186,0.203
Collide,Howie Day,acoustic,0.625,0.342
You And I,Ingrid Michaelson,acoustic,0.285,0.53
Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,acoustic,0.439,0.275
Falling in Love at a Coffee Shop,Landon Pigg,acoustic,0.298,0.243
Breathe (2 AM),Anna Nalick,acoustic,0.452,0.287
Habang Buhay,Zack Tabudlo,acoustic,0.668,0.183
Beautiful Soul,Jonah Baker,acoustic,0.281,0.485
Bulletproof,Ben Woodward,acoustic,0.552,0.635
Spectrum,Andrew Belle,acoustic,0.717,0.212
Girls Like You - Acoustic Version,Jonah Baker,acoustic,0.138,0.3
Nangangamba,Zack Tabudlo,acoustic,0.547,0.208
Better Together,Us The Duo,acoustic,0.311,0.553
Heartbreak Anniversary,Andrew Foy;Renee Foy,acoustic,0.122,0.339
One More Time Around,Tyler Ward;Karis;Ray Lorraine,acoustic,0.358,0.187
Say Something,A Great Big World,acoustic,0.101,0.155
Heart Can’t Lose,Zack Tabudlo,acoustic,0.567,0.374
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,acoustic,0.213,0.16
Empty,Ray LaMontagne,acoustic,0.381,0.42
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,acoustic,0.207,0.262
The Reason,Tim Halperin,acoustic,0.207,0.209
Fix You,Canyon City,acoustic,0.152,0.133
Hand to Hold,JJ Heller,acoustic,0.313,0.261
Hold You in My Arms,Ray LaMontagne,acoustic,0.321,0.577
One Last Dance,Us The Duo,acoustic,0.161,0.171
Heaven,Boyce Avenue;Megan Nicole,acoustic,0.28,0.292
The Spark - Bonus Track,Joshua Hyslop,acoustic,0.429,0.229
American Beauty,Drew Holcomb & The Neighbors,acoustic,0.169,0.178
Such A Simple Thing,Ray LaMontagne,acoustic,0.256,0.13
Colors,Amos Lee,acoustic,0.168,0.29
Someone You Loved,Boyce Avenue,acoustic,0.364,0.371
More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,acoustic,0.528,0.527
Flurry Rush,Days N Daze,acoustic,0.674,0.92
I Choose You,Sara Bareilles,acoustic,0.572,0.947
I Do Adore,Mindy Gledhill,acoustic,0.334,0.8
I'll Be Home For Christmas,Dave Barnes,acoustic,0.307,0.24
Fuck You,Get Dead,acoustic,0.917,0.936
Christmas Comes But Once A Year,Albert King,acoustic,0.494,0.621
Christmas Comes But Once A Year,Albert King,acoustic,0.494,0.621
If I Ain't Got You - Acoustic,John Adams,acoustic,0.15,0.361
Believe - Acoustic,John Adams,acoustic,0.241,0.182
Iris - Acoustic,Adam Christopher,acoustic,0.249,0.363
Rain - Long Ver.,Motohiro Hata,acoustic,0.604,0.351
C'est si bon,Aoi Teshima,acoustic,0.203,0.479
Baby (Acoustic Version),Jonah Baker,acoustic,0.147,0.328
Reason,YUZU,acoustic,0.819,0.468
I Like Me Better,Boyce Avenue;Emma Heesters,acoustic,0.263,0.315
Asan Ka Na Ba,Zack Tabudlo,acoustic,0.768,0.493
A Thousand Years,Boyce Avenue,acoustic,0.221,0.228
drivers license,Thomas Daniel,acoustic,0.217,0.373
Love Someone,Jason Mraz,acoustic,0.347,0.0797
The Winner Takes It All - Acoustic,Jae Hall,acoustic,0.127,0.149
Only Time,Aaron Espe,acoustic,0.261,0.361
Almost Lover,A Fine Frenzy,acoustic,0.24,0.167
Dance Monkey,Roses & Frey,acoustic,0.192,0.317
Ocean,Parachute,acoustic,0.711,0.352
Dream a Little Dream of Me,Kina Grannis,acoustic,0.185,0.458
Back For Good,The Mayries,acoustic,0.175,0.352
OK,Canyon City,acoustic,0.183,0.486
Just The Two Of Us,Andrew Foy;Renee Foy,acoustic,0.083,0.597
Hey There Delilah,Boyce Avenue,acoustic,0.319,0.258
Arcade,Andrew Foy;Renee Foy,acoustic,0.266,0.35
Yellow,Kina Grannis,acoustic,0.132,0.266
Wake Me Up,Roses & Frey,acoustic,0.214,0.35
Walking Blind,Aidan Hawken,acoustic,0.183,0.134
Headphones,Jon Bryant,acoustic,0.455,0.396
Teenage Dream,The Rescues,acoustic,0.408,0.411
The Worth Of The Wait,Ivan & Alyosha,acoustic,0.618,0.344
Can't Help Falling In Love - Piano Version,Kina Grannis,acoustic,0.0937,0.147
Never Come Back Again,Austin Plaine,acoustic,0.695,0.172
Love You To Death,Chord Overstreet,acoustic,0.344,0.0987
Someone You Loved - Acoustic,Plamina,acoustic,0.298,0.31
What a Wonderful World,Kina Grannis;Imaginary Future,acoustic,0.0399,0.155
You Broke Me First,Andrew Foy;Renee Foy,acoustic,0.0423,0.14
